bondarenko.larisa95,0,203,214,0,1,1,0
_vlad_1843,5,1197,209,1,0,1,0
_lil_op_3,219,1474,245,0,1,0,0
beatsby3am,6,3310,42,0,1,1,0
kollegerap,9,631,663,0,1,0,0
a_kew,126,285,706,1,0,0,0
reeskino,3,663,675,1,0,0,0
lowkeyjg,457,1248,1619,1,1,1,0
daily_gators,123,8603,900,0,0,1,0
daily_gators,123,8603,900,0,0,1,0
carstar40,3,724,450,0,1,0,0
spankmi_69,1,9,51,0,0,0,0
isobasketball,302,3705,12,0,0,0,0
joseph.delmo,2,716,484,1,0,0,0
clutchpoints,12889,363673,1032,0,1,1,1
dondadamiike_,0,2144,193,0,0,0,0
its.yaboy.cool_breeze,64,143,461,1,0,0,0
primetimehamzy,1,1889,884,0,0,1,0
jackanderson3_,3,887,819,1,0,0,0
crawfordham,0,198,426,1,0,0,0
_vlad_1843,5,1197,209,1,0,1,0
whosthatpoke,13,330,497,1,1,0,0
manchesterunited,14080,36119799,112,0,0,1,1
lily_king_ou,0,12,40,1,0,1,0
kisskaa69_ncf,0,8,30,1,1,0,0
divpromoo,1,36,125,0,1,0,0
rose_smith_4l,0,9,31,1,0,1,0
_vlad_1843,5,1197,209,1,0,1,0
ixcr7i_,301,1542,61,0,1,0,0
famous.cfc,32,53,55,0,0,0,0
ixcr7i_,301,1542,61,0,1,0,0
_rizky.mr,39,894,424,1,0,0,0
eivo___,16,5520,1874,0,0,0,0
famous.cfc,32,53,55,0,0,0,0
idkwhatamtalkingabout,0,5,128,0,0,0,0
itspat_____,3,287,421,0,1,0,0
anvina32,0,4,73,0,1,0,0
jide4773,8,472,453,0,0,0,0
tanaka.alright,2,517,399,0,0,1,0
itspat_____,3,287,421,0,1,0,0
chika.bara3,1,14,21,0,0,1,0
spectorcfc10,9,111,469,1,0,0,0
blue_is_the_colour34,0,67,615,1,0,0,0
ishmaell_martin,39,308,415,0,0,1,0
willabxelle_ibakumiva,0,0,12,1,0,1,0
_vlad_1843,5,1197,208,1,0,1,0
kate_69_6,5,11,36,0,0,1,0
magleno4ka3434,0,51,455,1,0,1,0
mudra_k.a.b.a.b.a,28,3175,1519,0,0,0,0
g002,3,99983,7323,0,0,0,0
whiteboyy.gramm,10,1792,490,0,0,0,0
g002,3,99983,7323,0,0,0,0
g002,3,99983,7323,0,0,0,0
g002,3,99983,7323,0,0,0,0
g002,3,99983,7323,0,0,0,0
g002,3,99983,7323,0,0,0,0
mudra_k.a.b.a.b.a,28,3175,1519,0,0,0,0
bitchnoire,1,444,483,0,0,1,0
g002,3,99983,7323,0,0,0,0
shukuruswilla,166,976,1221,0,0,0,0
thefootballnation_,8,80,19,0,0,0,0
g002,3,99983,7323,0,0,0,0
_ege10,0,316,170,0,0,0,0
g002,3,99983,7323,0,0,0,0
g002,3,99983,7323,0,0,0,0
_vlad_1843,5,1197,208,1,0,1,0
_fifa20_league_,3,13,103,0,0,0,0
marceloerik_,58,779,2234,1,0,1,0
7nm.l,16,12466,279,0,0,0,0
streetsoccerint,4504,219617,451,0,0,1,0
fifahours,3,305,35,1,0,1,0
maher._.jm,0,1755,1766,0,0,0,0
football_._expert,14,96,524,0,0,0,0
phavilia_vilia,5,86,296,0,0,0,0
criiii______,0,713,98,1,0,1,0
adityaaabayuu,2,237,208,0,1,1,0
badboydenzell,0,1096,695,1,0,0,0
phavilia_vilia,5,86,296,0,0,0,0
joan_revi02,5,105,123,1,0,0,0
fickyfajrian,3,712,395,0,0,0,0
idkwhatamtalkingabout,0,8,135,0,0,0,0
agatharachel2,4,75,225,0,0,0,0
jichopevuu,2,7354,1083,0,0,1,0
offical_eduard0,3,184,381,0,1,0,0
singerhead_tz,40,2019,147,0,0,0,0
kisskaa69_ncf,0,7,30,1,1,0,0
halrddeus_jena,4,1432,853,0,0,1,0
luciusoy36_8issac,9,1810,446,0,0,1,0
_vlad_1843,5,1197,208,1,0,1,0
shawn_graphics,108,2066,6500,0,0,1,0
luciusoy36_8issac,9,1811,445,0,0,1,0
melisa_madeboselodie,0,81,380,1,0,1,0
hfnedara,0,0,3,1,0,1,0
g_jonas615,465,4107,4761,0,0,1,0
sanitized.cinnamonroll,1,96,121,1,1,0,0
palguna1122,46,477,211,0,0,0,0
loothlaryf,0,788,221,0,1,0,0
professional._.procrastinator,9,362,361,1,0,0,0
50_shades_of_wilad,243,1595,599,0,1,0,0
i_am_rodrick,1,9377,6912,0,1,0,0
ted.philllips_,0,652,647,1,0,0,0
_vlad_1843,5,1197,208,1,0,1,0
__maaannnn,3,574,446,0,0,1,0
brown.funny.tz,133,2778,252,0,1,1,0
amnlh_z,5,266,390,1,0,0,0
moalipour,0,22,39,1,1,0,0
sheyikvngjrr,6,12685,4634,0,0,0,0
pablo_vangogh,0,110,54,1,0,0,0
kobz_kw,7,669,1296,1,0,0,0
raihanalam24,5,711,691,1,0,1,0
